Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Tracker,Gender (product.metafields.specs.gender),Shape (product.metafields.specs.shape),Polarized (product.metafields.specs.polarized),Frame Material (product.metafields.specs.frame_material),Lens Material (product.metafields.specs.lens_material),Bridge Size (product.metafields.specs.bridge_size_mm),Lens Width (product.metafields.specs.lens_width_mm),Lens Height (product.metafields.specs.lens_height_mm),Temple Length (product.metafields.specs.temple_length_mm),Lens Color (product.metafields.specs.lens_color),Front Colour (product.metafields.specs.front_colour),Temple Material (product.metafields.specs.temple_material),Geofit (product.metafields.specs.geofit),Legacy SKU (product.metafields.internal.legacy_sku),Image Src
ferrari-fz6005u-5047v40,"Ferrari 6005 — Aerodynamic, Plastic Matte Black(Sport)","Frame: Plastic Matte Black(Sport). Lens: BlueMirrViolet. Unisex / Rectangle shape. Fit: Bridge: 140mm, Temple: 130mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6005, Rectangle",TRUE,Title,Default Title,,,,,FZ6005U-5047V40,2608000,3260000,,,Unisex,Rectangle,,Injected,Polyamide Bio,140,,,130,,,,,FZ6005U-5047V40,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6005U__504_7V__P21__noshad__fr.jpg?v=1785427510
ferrari-fz6005u-5047v40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6005U__504_7V__P21__noshad__qt.jpg?v=1785427513
ferrari-fz6005u-5056q40,"Ferrari 6005 — Aerodynamic, Plastic OpalGrey","Frame: Plastic OpalGrey. Lens: RedGldMirror. Unisex / Rectangle shape. Fit: Bridge: 140mm, Temple: 130mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6005, Rectangle",TRUE,Title,Default Title,,,,,FZ6005U-5056Q40,2608000,3260000,,,Unisex,Rectangle,,Injected,Polyamide Bio,140,,,130,,,,,FZ6005U-5056Q40,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6005U__505_6Q__P21__noshad__fr.jpg?v=1785427516
ferrari-fz6005u-5056q40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6005U__505_6Q__P21__noshad__qt.jpg?v=1785427519
ferrari-fz6005u-5103r40,"Ferrari 6005 — Aerodynamic, Plastic Matte Blue","Frame: Plastic Matte Blue. Lens: GrnVioletMirror. Unisex / Rectangle shape. Fit: Bridge: 140mm, Temple: 130mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6005, Rectangle",TRUE,Title,Default Title,,,,,FZ6005U-5103R40,2608000,3260000,,,Unisex,Rectangle,,Injected,Polyamide Bio,140,,,130,,,,,FZ6005U-5103R40,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6005U__510_3R__P21__noshad__fr.jpg?v=1785427523
ferrari-fz6005u-5103r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6005U__510_3R__P21__noshad__qt.jpg?v=1785427526
ferrari-fz6006f-5018758,"Ferrari 6006 — Adrenaline Performance, Plastic Black-Red","Frame: Plastic Black-Red. Lens: Grey. Man / Square shape. Fit: Bridge: 18mm, Lens width: 58mm, Lens height: 46mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6006, Square",TRUE,Title,Default Title,,,,,FZ6006F-5018758,2248000,2810000,,,Man,Square,,Injected,Polyamide Bio,18,58,46,145,,,,,FZ6006F-5018758,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6006F__501_87__P21__noshad__fr.jpg?v=1785427530
ferrari-fz6006f-5018758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6006F__501_87__P21__noshad__qt.jpg?v=1785427533
ferrari-fz6006f-5055558,"Ferrari 6006 — Adrenaline Performance, Plastic GryTransparent","Frame: Plastic GryTransparent. Lens: MirrBlue. Man / Square shape. Fit: Bridge: 18mm, Lens width: 58mm, Lens height: 46mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6006, Square",TRUE,Title,Default Title,,,,,FZ6006F-5055558,2248000,2810000,,,Man,Square,,Injected,Polyamide Bio,18,58,46,145,,,,,FZ6006F-5055558,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6006F__505_55__P21__noshad__fr.jpg?v=1785427536
ferrari-fz6006f-5055558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6006F__505_55__P21__noshad__qt.jpg?v=1785427539
ferrari-fz6007u-5046g64,"Ferrari 6007 — Adrenaline Performance, Plastic Matte Black-Black","Frame: Plastic Matte Black-Black. Lens: GryMirrBlack. Man / Irregular shape. Fit: Bridge: 17mm, Lens width: 64mm, Lens height: 36mm, Temple: 130mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6007, Irregular",TRUE,Title,Default Title,,,,,FZ6007U-5046G64,2248000,2810000,,,Man,Irregular,,Injected,Polyamide Bio,17,64,36,130,,,,,FZ6007U-5046G64,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6007U__504_6G__P21__noshad__fr.jpg?v=1785427542
ferrari-fz6007u-5046g64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6007U__504_6G__P21__noshad__qt.jpg?v=1785427546
ferrari-fz6007u-5048n64,"Ferrari 6007 — Adrenaline Performance, Plastic Matte Black-Lime","Frame: Plastic Matte Black-Lime. Lens: LimeMirrGreen. Man / Irregular shape. Fit: Bridge: 17mm, Lens width: 64mm, Lens height: 36mm, Temple: 130mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6007, Irregular",TRUE,Title,Default Title,,,,,FZ6007U-5048N64,2248000,2810000,,,Man,Irregular,,Injected,Polyamide Bio,17,64,36,130,,,,,FZ6007U-5048N64,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6007U__504_8N__P21__noshad__fr.jpg?v=1785427549
ferrari-fz6007u-5048n64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6007U__504_8N__P21__noshad__qt.jpg?v=1785427552
ferrari-fz6007u-5052564,"Ferrari 6007 — Adrenaline Performance, Plastic Transparent.Grey-Blue","Frame: Plastic Transparent.Grey-Blue. Lens: MirrBlue. Man / Irregular shape. Fit: Bridge: 17mm, Lens width: 64mm, Lens height: 36mm, Temple: 130mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6007, Irregular",TRUE,Title,Default Title,,,,,FZ6007U-5052564,2248000,2810000,,,Man,Irregular,,Injected,Polyamide Bio,17,64,36,130,,,,,FZ6007U-5052564,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6007U__505_25__P21__noshad__fr.jpg?v=1785427555
ferrari-fz6007u-5052564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6007U__505_25__P21__noshad__qt.jpg?v=1785427559
ferrari-fz6007u-5078764,"Ferrari 6007 — Adrenaline Performance, Plastic YlwOpalMatte","Frame: Plastic YlwOpalMatte. Lens: Grey. Man / Irregular shape. Fit: Bridge: 17mm, Lens width: 64mm, Lens height: 36mm, Temple: 130mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6007, Irregular",TRUE,Title,Default Title,,,,,FZ6007U-5078764,2248000,2810000,,,Man,Irregular,,Injected,Polyamide Bio,17,64,36,130,,,,,FZ6007U-5078764,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6007U__507_87__P21__noshad__fr.jpg?v=1785427562
ferrari-fz6007u-5078764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6007U__507_87__P21__noshad__qt.jpg?v=1785427565
