Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Tracker,Gender (product.metafields.specs.gender),Shape (product.metafields.specs.shape),Polarized (product.metafields.specs.polarized),Frame Material (product.metafields.specs.frame_material),Lens Material (product.metafields.specs.lens_material),Bridge Size (product.metafields.specs.bridge_size_mm),Lens Width (product.metafields.specs.lens_width_mm),Lens Height (product.metafields.specs.lens_height_mm),Temple Length (product.metafields.specs.temple_length_mm),Lens Color (product.metafields.specs.lens_color),Front Colour (product.metafields.specs.front_colour),Temple Material (product.metafields.specs.temple_material),Geofit (product.metafields.specs.geofit),Legacy SKU (product.metafields.internal.legacy_sku),Image Src
oakley-oo9018-0255,"Oakley Ojetor — Performance Lifestyle, PolishClear","Frame: PolishClear. Lens: PrzmSapp(Blue). Man / Rectangle shape. Fit: Bridge: 20mm, Lens width: 55mm, Lens height: 45mm, Temple: 143mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, Ojetor, Rectangle",TRUE,Title,Default Title,,,,,OO9018-0255,3160000,3950000,,shopify,Man,Rectangle,FALSE,O_matter,Polycarbonate,20,55,45,143,Prizm Grey,Matte Black,Injected,High Bridge Fit,OK9018-0255,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901802__P21__noshad__fr.jpg?v=1785243918
oakley-oo9018-0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901802__P21__noshad__qt.jpg?v=1785243921
oakley-oo9018-0455,"Oakley Ojetor — Performance Lifestyle, BlkInk","Frame: BlkInk. Lens: PrzmBlkPol.. Man / Rectangle shape. Fit: Bridge: 20mm, Lens width: 55mm, Lens height: 45mm, Temple: 143mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, Ojetor, Rectangle",TRUE,Title,Default Title,,,,,OO9018-0455,4128000,5160000,,shopify,Man,Rectangle,FALSE,O_matter,Polycarbonate,20,55,45,143,Prizm Grey,Matte Black,Injected,High Bridge Fit,OK9018-0455,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901804__P21__noshad__fr.jpg?v=1785243924
oakley-oo9018-0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901804__P21__noshad__qt.jpg?v=1785243927
oakley-oo9018-0655,"Oakley Ojetor — Performance Lifestyle, PolishedBlack","Frame: PolishedBlack. Lens: PrizmRoseGldPol.. Man / Rectangle shape. Fit: Bridge: 20mm, Lens width: 55mm, Lens height: 45mm, Temple: 143mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, Ojetor, Rectangle",TRUE,Title,Default Title,,,,,OO9018-0655,3632000,4540000,,shopify,Man,Rectangle,FALSE,O_matter,Polycarbonate,20,55,45,143,Prizm Grey,Matte Black,Injected,High Bridge Fit,OK9018-0655,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901806__P21__noshad__fr.jpg?v=1785243931
oakley-oo9018-0655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901806__P21__noshad__qt.jpg?v=1785243935
oakley-oo9018-1355,"Oakley Ojetor — Performance Lifestyle, OliveInk","Frame: OliveInk. Lens: PrzmBlack. Man / Rectangle shape. Fit: Bridge: 20mm, Lens width: 55mm, Lens height: 45mm, Temple: 143mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, Ojetor, Rectangle",TRUE,Title,Default Title,,,,,OO9018-1355,3160000,3950000,,shopify,Man,Rectangle,FALSE,O_matter,Polycarbonate,20,55,45,143,Prizm Grey,Matte Black,Injected,High Bridge Fit,OK9018-1355,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901813__P21__noshad__fr.jpg?v=1783995788
oakley-oo9018-1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901813__P21__noshad__qt.jpg?v=1783995792
oakley-oo9018-1455,"Oakley Ojetor — Performance Lifestyle, Grey Ink","Frame: Grey Ink. Lens: Prizm Sapp Polarized. Man / Rectangle shape. Fit: Bridge: 20mm, Lens width: 55mm, Lens height: 45mm, Temple: 143mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, Ojetor, Rectangle",TRUE,Title,Default Title,,,,,OO9018-1455,4128000,5160000,,shopify,Man,Rectangle,FALSE,O_matter,Polycarbonate,20,55,45,143,Prizm Grey,Matte Black,Injected,High Bridge Fit,OK9018-1455,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901814__P21__noshad__fr.jpg?v=1785243938
oakley-oo9018-1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901814__P21__noshad__qt.jpg?v=1785243941
oakley-oo9018-1955,"Oakley Ojetor — Performance Lifestyle, OliveInk","Frame: OliveInk. Lens: PrizmSapphire. Man / Rectangle shape. Fit: Bridge: 20mm, Lens width: 55mm, Lens height: 45mm, Temple: 143mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, Ojetor, Rectangle",TRUE,Title,Default Title,,,,,OO9018-1955,3160000,3950000,,shopify,Man,Rectangle,FALSE,O_matter,Polycarbonate,20,55,45,143,Prizm Grey,Matte Black,Injected,High Bridge Fit,OK9018-1955,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901819__P21__noshad__fr.jpg?v=1785243944
oakley-oo9018-1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9018__901819__P21__noshad__qt.jpg?v=1785243948
oakley-oo9019-1659,Oakley PLAZMA — Matte Clear,"Frame: Matte Clear. Lens: PrzmRoadJade. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, PLAZMA",TRUE,Title,Default Title,,,,,OO9019-1659,3136000,3920000,,shopify,,,FALSE,,,,,,,,,,,OK9019-1659,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9019__901916__P21__noshad__fr.jpg?v=1785243951
oakley-oo9019-1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9019__901916__P21__noshad__qt.jpg?v=1785243954
oakley-oo9098-0248,Oakley SUBZERO — CarbonFiber,"Frame: CarbonFiber. Lens: PrzmRuby. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, SUBZERO",TRUE,Title,Default Title,,,,,OO9098-0248,3960000,4950000,,shopify,,,FALSE,,,,,,,,,,,OK9098-0248,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9098__909802__P21__noshad__fr.jpg?v=1785243957
oakley-oo9098-0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9098__909802__P21__noshad__qt.jpg?v=1785243961
oakley-oo9098-0348,Oakley SUBZERO — Planet X,"Frame: Planet X. Lens: PrzmSapphire(Blue). Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, SUBZERO",TRUE,Title,Default Title,,,,,OO9098-0348,3960000,4950000,,shopify,,,FALSE,,,,,,,,,,,OK9098-0348,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9098__909803__P21__noshad__fr.jpg?v=1785243964
oakley-oo9098-0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9098__909803__P21__noshad__qt.jpg?v=1785243967
oakley-oo9100-0157,"Oakley LEFFINGWELL — Performance Lifestyle, BlkInk","Frame: BlkInk. Lens: PrzmGrey. Man / Rectangle shape. Fit: Bridge: 17mm, Lens width: 57mm, Lens height: 45mm, Temple: 134mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, LEFFINGWELL, Rectangle",TRUE,Title,Default Title,,,,,OO9100-0157,2544000,3180000,,shopify,Man,Rectangle,FALSE,O_matter,Polycarbonate,17,57,45,134,Prizm Grey,Black Ink,Injected,High Bridge Fit,OK9100-0157,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9100__910001__P21__noshad__fr.jpg?v=1785243970
oakley-oo9100-0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9100__910001__P21__noshad__qt.jpg?v=1785243974
